campaign_name,start_date,end_date,budget,roi,type,target_audience,channel,conversion_rate,revenue,net_profit,start_year,start_month,start_quarter,end_year,end_month,end_quarter,performance_category,categoria_rendimiento,cost_per_conversion,low_budget_flag,high_roi_flag,high_conversion_flag,paid_channel_flag,long_duration_flag,b2b_flag
cross-platform 24/7 archive,2023-01-16,2024-07-15,79680.62,0.9,email,b2b,promotion,0.96,435524.36,355843.74,2023,1,1,2024,7,3,Alto rendimiento,Alto rendimiento,83000.64583333333,0,1,1,0,1,0
future-proofed local forecast,2023-08-01,2023-08-11,46775.63,0.67,webinar,b2b,referral,0.75,814672.28,767896.65,2023,8,3,2023,8,3,Alto rendimiento,Alto rendimiento,62367.50666666666,0,1,1,0,0,0
horizontal hybrid instruction set,2022-08-26,2024-07-24,48366.5,0.21,social media,b2b,promotion,0.87,41004.95,-7361.550000000003,2022,8,3,2024,7,3,Rendimiento medio,Rendimiento medio,55593.67816091954,0,0,1,0,1,0
inverse contextually-based neural-net,2023-06-26,2024-01-28,84973.4,0.16,podcast,b2c,organic,0.16,390736.64,305763.24,2023,6,2,2024,1,1,Bajo rendimiento,Bajo rendimiento,531083.75,0,0,0,0,1,0
polarized hybrid system engine,2023-02-15,2023-11-17,37344.7,0.98,email,b2c,organic,0.43,463541.48,426196.77999999997,2023,2,1,2023,11,4,Rendimiento medio,Rendimiento medio,86848.13953488371,0,1,0,0,1,0
managed analyzing service-desk,2023-07-05,2023-10-09,14391.98,0.23,email,b2c,promotion,0.83,456537.4,442145.42000000004,2023,7,3,2023,10,4,Rendimiento medio,Rendimiento medio,17339.734939759037,0,0,1,0,0,0
seamless clear-thinking product,2022-11-18,2023-10-05,99838.63,0.63,email,b2b,organic,0.18,14073.59,-85765.04000000001,2022,11,4,2023,10,4,Rendimiento medio,Rendimiento medio,554659.0555555556,0,1,0,0,1,0
networked local adapter,2022-10-17,2024-07-03,29076.12,0.61,social media,b2b,referral,0.1,948309.55,919233.43,2022,10,4,2024,7,3,Rendimiento medio,Rendimiento medio,290761.19999999995,0,1,0,0,1,0
open-architected neutral open system,2023-04-19,2023-09-20,87963.28,0.69,podcast,b2b,promotion,0.57,993906.77,905943.49,2023,4,2,2023,9,3,Alto rendimiento,Alto rendimiento,154321.54385964913,0,1,1,0,0,0
secured optimal website,2023-05-25,2023-12-12,53935.8,0.44,social media,b2c,paid,0.4,958654.12,904718.32,2023,5,2,2023,12,4,Rendimiento medio,Rendimiento medio,134839.5,0,0,0,1,1,0
seamless zero-defect portal,2022-08-12,2024-07-19,71277.1,0.21,email,b2b,paid,0.56,932824.61,861547.51,2022,8,3,2024,7,3,Rendimiento medio,Rendimiento medio,127280.53571428571,0,0,1,1,1,0
configurable eco-centric capability,2022-10-02,2024-03-09,15968.2,0.53,social media,b2c,paid,0.15,430007.3,414039.1,2022,10,4,2024,3,1,Rendimiento medio,Rendimiento medio,106454.66666666667,0,0,0,1,1,0
customizable directional paradigm,2023-01-20,2023-08-16,54468.41,0.7,social media,b2c,paid,0.7,924154.29,869685.88,2023,1,1,2023,8,3,Alto rendimiento,Alto rendimiento,77812.0142857143,0,1,1,1,1,0
cross-platform holistic encryption,2023-07-27,2024-02-15,29393.78,0.34,podcast,b2b,promotion,0.8,72323.84,42930.06,2023,7,3,2024,2,1,Rendimiento medio,Rendimiento medio,36742.225,0,0,1,0,1,0
vision-oriented encompassing system engine,2022-11-24,2024-03-22,9147.79,0.9,email,b2b,referral,0.28,42048.95,32901.159999999996,2022,11,4,2024,3,1,Rendimiento medio,Rendimiento medio,32670.678571428572,1,1,0,0,1,0
ergonomic next generation throughput,2022-12-16,2024-03-25,68801.22,0.6,social media,b2b,organic,0.65,482216.95,413415.73,2022,12,4,2024,3,1,Rendimiento medio,Rendimiento medio,105848.03076923077,0,0,1,0,1,0
vision-oriented 4thgeneration conglomeration,2023-01-18,2024-04-22,1309.17,0.91,podcast,b2c,organic,0.27,273231.88,271922.71,2023,1,1,2024,4,2,Rendimiento medio,Rendimiento medio,4848.777777777777,1,1,0,0,1,0
ameliorated secondary data-warehouse,2023-04-29,2023-08-24,27168.6,0.74,social media,b2b,organic,0.1,704768.1,677599.5,2023,4,2,2023,8,3,Rendimiento medio,Rendimiento medio,271685.99999999994,0,1,0,0,0,0
programmable executive workforce,2022-11-22,2024-07-01,39682.9,0.95,webinar,b2b,paid,0.7,116505.36,76822.45999999999,2022,11,4,2024,7,3,Alto rendimiento,Alto rendimiento,56689.857142857145,0,1,1,1,1,0
cross-group user-facing application,2023-02-27,2024-01-06,89227.7,0.9,podcast,b2c,promotion,0.0,617379.96,528152.26,2023,2,1,2024,1,1,Rendimiento medio,Rendimiento medio,inf,0,1,0,0,1,0
secured systematic architecture,2022-11-26,2024-04-16,96917.97,0.55,podcast,b2c,promotion,0.39,571977.28,475059.31000000006,2022,11,4,2024,4,2,Rendimiento medio,Rendimiento medio,248507.61538461538,0,0,0,0,1,0
seamless bifurcated firmware,2022-09-06,2023-12-12,28323.41,0.84,webinar,b2b,organic,0.9,984261.3,955937.89,2022,9,3,2023,12,4,Alto rendimiento,Alto rendimiento,31470.455555555556,0,1,1,0,1,0
intuitive directional website,2023-06-15,2024-01-07,63656.18,0.17,podcast,b2b,referral,0.4,77500.94,13844.760000000002,2023,6,2,2024,1,1,Rendimiento medio,Rendimiento medio,159140.44999999998,0,0,0,0,1,0
mandatory incremental throughput,2023-02-28,2024-07-01,69084.1,0.51,podcast,b2b,organic,0.98,210953.33,141869.22999999998,2023,2,1,2024,7,3,Rendimiento medio,Rendimiento medio,70493.97959183675,0,0,1,0,1,0
organic 24/7 secured line,2023-07-14,2023-10-06,65447.41,0.5,email,b2b,paid,0.26,477907.76,412460.35,2023,7,3,2023,10,4,Rendimiento medio,Rendimiento medio,251720.8076923077,0,0,0,1,0,0
user-friendly analyzing moratorium,2023-04-06,2024-03-16,20328.53,0.99,email,b2b,organic,0.97,658107.7,637779.1699999999,2023,4,2,2024,3,1,Alto rendimiento,Alto rendimiento,20957.24742268041,0,1,1,0,1,0
programmable discrete intranet,2023-03-05,2024-02-13,8041.9,0.5,social media,b2b,paid,0.96,567808.35,559766.45,2023,3,1,2024,2,1,Rendimiento medio,Rendimiento medio,8376.979166666666,1,0,1,1,1,0
future-proofed empowering forecast,2022-12-11,2023-11-05,19030.69,0.39,webinar,b2c,promotion,0.75,472138.22,453107.52999999997,2022,12,4,2023,11,4,Rendimiento medio,Rendimiento medio,25374.25333333333,0,0,1,0,1,0
re-engineered solution-oriented core,2022-10-20,2024-02-11,6124.7,0.87,email,b2b,referral,0.67,397435.21,391310.51,2022,10,4,2024,2,1,Alto rendimiento,Alto rendimiento,9141.34328358209,1,1,1,0,1,0
diverse grid-enabled forecast,2022-11-18,2023-11-18,11271.19,0.96,social media,b2c,referral,0.81,538367.39,527096.2000000001,2022,11,4,2023,11,4,Alto rendimiento,Alto rendimiento,13915.04938271605,0,1,1,0,1,0
function-based motivating functionalities,2022-12-11,2024-03-18,28203.84,0.64,email,b2c,organic,0.24,570246.17,542042.3300000001,2022,12,4,2024,3,1,Rendimiento medio,Rendimiento medio,117516.0,0,1,0,0,1,0
user-centric holistic firmware,2022-08-06,2024-03-12,99957.15,0.63,webinar,b2c,referral,0.62,430498.24,330541.08999999997,2022,8,3,2024,3,1,Alto rendimiento,Alto rendimiento,161221.20967741933,0,1,1,0,1,0
virtual real-time architecture,2023-06-06,2023-12-25,27675.42,0.7,email,b2b,paid,0.1,672667.53,644992.11,2023,6,2,2023,12,4,Rendimiento medio,Rendimiento medio,276754.19999999995,0,1,0,1,1,0
open-source 6thgeneration secured line,2023-03-07,2023-09-30,12480.75,0.9,podcast,b2b,promotion,0.82,847778.95,835298.2,2023,3,1,2023,9,3,Alto rendimiento,Alto rendimiento,15220.426829268294,0,1,1,0,1,0
reduced leadingedge architecture,2023-04-23,2024-06-06,84119.33,0.93,email,b2c,organic,0.64,816593.62,732474.29,2023,4,2,2024,6,2,Alto rendimiento,Alto rendimiento,131436.453125,0,1,1,0,1,0
fully-configurable 24/7 knowledgebase,2022-09-30,2024-01-20,6658.22,0.64,webinar,b2c,promotion,0.3,273952.77,267294.55000000005,2022,9,3,2024,1,1,Rendimiento medio,Rendimiento medio,22194.06666666667,1,1,0,0,1,0
organic 4thgeneration neural-net,2022-10-29,2024-04-16,53826.21,0.2,podcast,b2b,promotion,0.2,683796.77,629970.56,2022,10,4,2024,4,2,Bajo rendimiento,Bajo rendimiento,269131.05,0,0,0,0,1,0
centralized 3rdgeneration budgetary management,2023-07-26,2023-08-11,85125.0,0.56,webinar,b2c,promotion,0.14,364648.39,279523.39,2023,7,3,2023,8,3,Rendimiento medio,Rendimiento medio,608035.7142857142,0,0,0,0,0,0
persevering web-enabled workforce,2023-06-23,2024-01-03,79220.8,0.6,social media,b2c,paid,0.3,29575.48,-49645.32000000001,2023,6,2,2024,1,1,Rendimiento medio,Rendimiento medio,264069.3333333334,0,0,0,1,1,0
multi-channeled high-level interface,2023-04-06,2023-08-15,46560.5,0.67,social media,b2c,paid,0.85,489015.27,442454.77,2023,4,2,2023,8,3,Alto rendimiento,Alto rendimiento,54777.05882352941,0,1,1,1,0,0
re-contextualized high-level project,2023-07-13,2024-04-22,56850.62,0.84,social media,b2c,referral,0.98,383111.17,326260.55,2023,7,3,2024,4,2,Alto rendimiento,Alto rendimiento,58010.83673469388,0,1,1,0,1,0
right-sized tangible product,2022-11-09,2024-02-16,94856.15,0.84,email,b2b,referral,0.23,283711.16,188855.00999999998,2022,11,4,2024,2,1,Rendimiento medio,Rendimiento medio,412418.0434782608,0,1,0,0,1,0
diverse leadingedge initiative,2022-10-17,2023-08-16,93383.63,0.6,email,b2b,promotion,0.76,749909.68,656526.05,2022,10,4,2023,8,3,Rendimiento medio,Rendimiento medio,122873.19736842105,0,0,1,0,1,0
intuitive transitional hardware,2023-02-25,2023-09-15,26183.57,0.47,social media,b2b,referral,0.26,429790.1,403606.52999999997,2023,2,1,2023,9,3,Rendimiento medio,Rendimiento medio,100706.03846153845,0,0,0,0,1,0
diverse 6thgeneration superstructure,2022-08-05,2024-01-05,99128.36,0.9,email,b2b,promotion,0.78,852334.6,753206.24,2022,8,3,2024,1,1,Alto rendimiento,Alto rendimiento,127087.64102564102,0,1,1,0,1,0
enhanced 4thgeneration hierarchy,2022-08-06,2024-04-17,80647.64,0.9,webinar,b2b,referral,0.81,872159.47,791511.83,2022,8,3,2024,4,2,Alto rendimiento,Alto rendimiento,99564.98765432098,0,1,1,0,1,0
function-based systematic emulation,2023-03-02,2024-07-12,30883.42,0.63,social media,b2b,paid,0.37,873342.13,842458.71,2023,3,1,2024,7,3,Rendimiento medio,Rendimiento medio,83468.70270270269,0,1,0,1,1,0
managed asymmetric array,2022-10-14,2024-07-06,24998.61,0.4,webinar,b2c,organic,0.39,71257.79,46259.17999999999,2022,10,4,2024,7,3,Rendimiento medio,Rendimiento medio,64099.0,0,0,0,0,1,0
enterprise-wide mission-critical utilization,2022-09-29,2023-09-05,64119.81,0.26,social media,b2b,promotion,0.93,211910.58,147790.77,2022,9,3,2023,9,3,Rendimiento medio,Rendimiento medio,68946.03225806452,0,0,1,0,1,0
adaptive clear-thinking methodology,2023-05-16,2024-03-21,60594.85,0.49,social media,b2c,paid,0.82,850376.61,789781.76,2023,5,2,2024,3,1,Rendimiento medio,Rendimiento medio,73896.15853658537,0,0,1,1,1,0
networked zero administration model,2022-11-01,2023-11-06,22411.36,0.51,webinar,b2c,organic,0.4,102385.82,79974.46,2022,11,4,2023,11,4,Rendimiento medio,Rendimiento medio,56028.4,0,0,0,0,1,0
seamless well-modulated open architecture,2022-08-28,2023-10-09,47906.32,0.74,webinar,b2b,promotion,0.45,871834.53,823928.2100000001,2022,8,3,2023,10,4,Rendimiento medio,Rendimiento medio,106458.48888888888,0,1,0,0,1,0
exclusive radical installation,2022-08-09,2023-10-10,28548.76,0.28,email,b2c,promotion,0.6,181056.53,152507.77,2022,8,3,2023,10,4,Rendimiento medio,Rendimiento medio,47581.26666666666,0,0,1,0,1,0
intuitive bottom-line algorithm,2022-08-27,2024-05-06,44251.43,0.72,email,b2b,referral,0.16,846562.3,802310.87,2022,8,3,2024,5,2,Rendimiento medio,Rendimiento medio,276571.4375,0,1,0,0,1,0
compatible stable extranet,2022-12-24,2023-11-13,32895.11,0.8,podcast,b2c,referral,0.1,136858.12,103963.01,2022,12,4,2023,11,4,Rendimiento medio,Rendimiento medio,328951.1,0,1,0,0,1,0
progressive secondary synergy,2022-11-08,2024-04-06,55985.9,0.9,social media,b2b,organic,0.59,505421.93,449436.02999999997,2022,11,4,2024,4,2,Alto rendimiento,Alto rendimiento,94891.3559322034,0,1,1,0,1,0
sharable next generation ability,2022-12-15,2024-02-19,23212.27,0.13,webinar,b2c,referral,0.49,830178.2,806965.9299999999,2022,12,4,2024,2,1,Rendimiento medio,Rendimiento medio,47371.97959183674,0,0,0,0,1,0
devolved value-added support,2023-07-02,2024-02-13,42051.6,0.32,email,b2b,referral,0.25,287690.5,245638.9,2023,7,3,2024,2,1,Rendimiento medio,Rendimiento medio,168206.4,0,0,0,0,1,0
front-line full-range matrices,2022-08-04,2023-08-10,79829.52,0.69,email,b2b,paid,0.7,472828.97,392999.44999999995,2022,8,3,2023,8,3,Alto rendimiento,Alto rendimiento,114042.17142857144,0,1,1,1,1,0
grass-roots foreground firmware,2023-04-26,2024-04-21,96169.66,0.28,podcast,b2c,organic,0.45,455474.93,359305.27,2023,4,2,2024,4,2,Rendimiento medio,Rendimiento medio,213710.35555555555,0,0,0,0,1,0
implemented reciprocal monitoring,2023-02-26,2024-06-19,72722.22,0.79,email,b2c,organic,0.1,619138.31,546416.0900000001,2023,2,1,2024,6,2,Rendimiento medio,Rendimiento medio,727222.2,0,1,0,0,1,0
reverse-engineered foreground approach,2023-02-22,2024-02-18,52125.2,0.16,webinar,b2c,referral,0.8,27754.76,-24370.44,2023,2,1,2024,2,1,Rendimiento medio,Rendimiento medio,65156.49999999999,0,0,1,0,1,0
open-source maximized projection,2023-03-23,2024-03-22,77340.13,0.53,webinar,b2b,referral,0.74,347402.29,270062.16,2023,3,1,2024,3,1,Rendimiento medio,Rendimiento medio,104513.6891891892,0,0,1,0,1,0
intuitive object-oriented moratorium,2022-12-18,2023-08-28,97763.51,0.23,webinar,b2c,promotion,0.7,244772.45,147008.94,2022,12,4,2023,8,3,Rendimiento medio,Rendimiento medio,139662.15714285715,0,0,1,0,1,0
virtual 4thgeneration graphical user interface,2023-07-27,2024-03-27,15463.29,0.38,social media,b2b,promotion,0.6,963251.51,947788.22,2023,7,3,2024,3,1,Rendimiento medio,Rendimiento medio,25772.15,0,0,1,0,1,0
reactive multi-tasking extranet,2022-12-26,2023-08-25,51210.38,0.82,email,b2b,referral,0.83,536138.69,484928.30999999994,2022,12,4,2023,8,3,Alto rendimiento,Alto rendimiento,61699.25301204819,0,1,1,0,1,0
enhanced heuristic archive,2023-05-05,2023-09-26,16066.41,0.67,email,b2b,paid,0.3,508865.73,492799.32,2023,5,2,2023,9,3,Rendimiento medio,Rendimiento medio,53554.700000000004,0,1,0,1,0,0
stand-alone bandwidth-monitored capability,2022-10-10,2024-03-29,89383.19,0.83,social media,b2c,referral,0.77,828963.15,739579.96,2022,10,4,2024,3,1,Alto rendimiento,Alto rendimiento,116082.06493506493,0,1,1,0,1,0
open-source coherent archive,2022-08-18,2024-06-11,46558.0,0.88,podcast,b2b,organic,0.4,315646.86,269088.86,2022,8,3,2024,6,2,Rendimiento medio,Rendimiento medio,116395.0,0,1,0,0,1,0
future-proofed coherent core,2022-09-14,2024-05-08,62178.3,0.28,social media,b2c,paid,0.2,317338.48,255160.18,2022,9,3,2024,5,2,Bajo rendimiento,Bajo rendimiento,310891.5,0,0,0,1,1,0
decentralized radical emulation,2022-09-18,2024-04-23,20201.5,0.76,webinar,b2b,promotion,0.89,335385.42,315183.92,2022,9,3,2024,4,2,Alto rendimiento,Alto rendimiento,22698.314606741573,0,1,1,0,1,0
team-oriented content-based data-warehouse,2022-11-12,2024-01-15,43643.99,0.26,social media,b2c,organic,0.55,470023.84,426379.85000000003,2022,11,4,2024,1,1,Rendimiento medio,Rendimiento medio,79352.70909090908,0,0,1,0,1,0
expanded tangible capacity,2023-06-26,2024-05-07,20647.17,0.87,email,b2b,organic,0.78,759838.76,739191.59,2023,6,2,2024,5,2,Alto rendimiento,Alto rendimiento,26470.730769230766,0,1,1,0,1,0
secured methodical system engine,2023-05-30,2024-05-08,29781.93,0.51,webinar,b2c,paid,0.46,567832.12,538050.19,2023,5,2,2024,5,2,Rendimiento medio,Rendimiento medio,64743.32608695652,0,0,0,1,1,0
synergistic well-modulated conglomeration,2023-04-23,2023-11-23,89003.41,0.87,podcast,b2c,referral,0.18,643537.76,554534.35,2023,4,2,2023,11,4,Rendimiento medio,Rendimiento medio,494463.38888888893,0,1,0,0,1,0
programmable dedicated ability,2022-10-18,2024-03-26,34838.17,0.55,podcast,b2b,promotion,0.22,286374.76,251536.59000000003,2022,10,4,2024,3,1,Rendimiento medio,Rendimiento medio,158355.31818181818,0,0,0,0,1,0
public-key dynamic synergy,2023-03-03,2023-11-16,8209.8,0.91,webinar,b2b,paid,0.78,725706.76,717496.96,2023,3,1,2023,11,4,Alto rendimiento,Alto rendimiento,10525.384615384613,1,1,1,1,1,0
synergistic actuating benchmark,2022-12-14,2023-08-20,13024.35,0.2,email,b2c,organic,0.99,882368.6,869344.25,2022,12,4,2023,8,3,Rendimiento medio,Rendimiento medio,13155.909090909092,0,0,1,0,1,0
optional client-driven approach,2022-12-30,2024-07-02,9180.95,0.39,webinar,b2c,organic,0.97,93102.44,83921.49,2022,12,4,2024,7,3,Rendimiento medio,Rendimiento medio,9464.896907216496,1,0,1,0,1,0
cloned exuding matrices,2023-06-03,2024-07-16,46215.77,0.65,email,b2c,paid,0.63,326486.31,280270.54,2023,6,2,2024,7,3,Alto rendimiento,Alto rendimiento,73358.36507936507,0,1,1,1,1,0
expanded zero tolerance adapter,2022-09-19,2024-05-07,80474.62,0.86,email,b2c,organic,0.7,394021.52,313546.9,2022,9,3,2024,5,2,Alto rendimiento,Alto rendimiento,114963.74285714286,0,1,1,0,1,0
persistent incremental installation,2022-12-22,2024-01-27,12789.78,0.73,email,b2c,paid,0.4,516246.2,503456.42,2022,12,4,2024,1,1,Rendimiento medio,Rendimiento medio,31974.45,0,1,0,1,1,0
integrated full-range encoding,2023-06-18,2024-03-01,42818.39,0.12,email,b2b,promotion,0.14,778282.87,735464.48,2023,6,2,2024,3,1,Bajo rendimiento,Bajo rendimiento,305845.64285714284,0,0,0,0,1,0
total system-worthy framework,2023-01-16,2023-08-10,77090.58,0.67,email,b2c,organic,0.1,818026.22,740935.64,2023,1,1,2023,8,3,Rendimiento medio,Rendimiento medio,770905.7999999999,0,1,0,0,1,0
persistent disintermediate artificial intelligence,2023-01-23,2023-08-21,10659.15,0.7,email,b2b,promotion,0.84,506589.58,495930.43,2023,1,1,2023,8,3,Alto rendimiento,Alto rendimiento,12689.464285714286,0,1,1,0,1,0
self-enabling explicit interface,2023-01-23,2024-06-19,71211.28,0.85,email,b2b,referral,0.94,628222.4,557011.12,2023,1,1,2024,6,2,Alto rendimiento,Alto rendimiento,75756.68085106384,0,1,1,0,1,0
user-centric responsive software,2022-09-24,2023-08-04,55105.95,0.39,email,b2b,paid,0.65,980593.34,925487.39,2022,9,3,2023,8,3,Rendimiento medio,Rendimiento medio,84778.38461538461,0,0,1,1,1,0
enterprise-wide bottom-line forecast,2023-01-27,2024-01-26,22701.3,0.21,email,b2c,promotion,0.86,89740.19,67038.89,2023,1,1,2024,1,1,Rendimiento medio,Rendimiento medio,26396.86046511628,0,0,1,0,1,0
upgradable transitional productivity,2022-12-25,2024-05-12,28460.11,0.0,social media,b2b,paid,0.37,593949.35,565489.24,2022,12,4,2024,5,2,Rendimiento medio,Rendimiento medio,76919.21621621621,0,0,0,1,1,0
assimilated asynchronous project,2023-03-30,2024-06-25,81474.69,0.34,email,b2b,paid,0.98,116549.43,35074.73999999999,2023,3,1,2024,6,2,Rendimiento medio,Rendimiento medio,83137.4387755102,0,0,1,1,1,0
reverse-engineered 4thgeneration alliance,2022-10-10,2023-12-12,99406.41,0.77,webinar,b2b,promotion,0.3,485297.93,385891.52,2022,10,4,2023,12,4,Rendimiento medio,Rendimiento medio,331354.7,0,1,0,0,1,0
networked bi-directional help-desk,2023-03-23,2023-09-24,89764.52,0.5,podcast,b2c,organic,0.8,346320.53,256556.01,2023,3,1,2023,9,3,Rendimiento medio,Rendimiento medio,112205.65,0,0,1,0,1,0
diverse exuding superstructure,2022-09-07,2023-11-04,11769.71,0.63,webinar,b2b,paid,0.24,155142.36,143372.65,2022,9,3,2023,11,4,Rendimiento medio,Rendimiento medio,49040.45833333333,0,1,0,1,1,0
organized directional service-desk,2022-10-17,2024-05-11,44085.8,0.97,webinar,b2b,referral,0.71,88806.24,44720.44,2022,10,4,2024,5,2,Alto rendimiento,Alto rendimiento,62092.67605633804,0,1,1,0,1,0
balanced 24hour intranet,2022-09-15,2024-04-11,31712.22,0.5,email,b2c,paid,0.12,523802.73,492090.51,2022,9,3,2024,4,2,Rendimiento medio,Rendimiento medio,264268.5,0,0,0,1,1,0
reactive well-modulated portal,2023-02-04,2023-09-02,34455.95,0.4,social media,b2b,organic,0.6,601996.12,567540.17,2023,2,1,2023,9,3,Rendimiento medio,Rendimiento medio,57426.58333333333,0,0,1,0,1,0
realigned intangible application,2023-07-06,2024-01-24,31468.43,0.47,email,b2b,promotion,0.48,147390.21,115921.78,2023,7,3,2024,1,1,Rendimiento medio,Rendimiento medio,65559.22916666667,0,0,0,0,1,0
front-line web-enabled orchestration,2023-01-12,2024-06-13,89740.86,0.37,social media,b2c,paid,0.21,477285.33,387544.47000000003,2023,1,1,2024,6,2,Rendimiento medio,Rendimiento medio,427337.4285714286,0,0,0,1,1,0
polarized upward-trending frame,2023-03-23,2024-05-23,6806.2,0.55,webinar,b2b,paid,0.78,519790.34,512984.14,2023,3,1,2024,5,2,Rendimiento medio,Rendimiento medio,8725.897435897436,1,0,1,1,1,0
persevering content-based archive,2022-12-27,2024-01-04,21795.27,0.55,social media,b2b,promotion,0.89,397630.37,375835.1,2022,12,4,2024,1,1,Rendimiento medio,Rendimiento medio,24489.067415730337,0,0,1,0,1,0
